Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
11600,52vEY7f17k,"Unit ES_04, Section ES_04-4",EG54,4,x+6 = 7/8,2005-12-02 12:32:03.0,2005-12-02 12:32:06.0,2005-12-02 12:32:06.0,2005-12-02 12:32:06.0,3.0,3.0,,1,0,0,1,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]",103
19017,6W08a98ZQV,"Unit ES_02, Section ES_02-1",EG2-FIXED,1,2y = 5+3,2005-09-09 12:26:07.0,2005-09-09 12:26:10.0,2005-09-09 12:26:10.0,2005-09-09 12:26:10.0,3.0,3.0,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],2
19018,6W08a98ZQV,"Unit ES_02, Section ES_02-1",EG2-FIXED,1,2y = 8,2005-09-09 12:26:10.0,2005-09-09 12:26:17.0,2005-09-09 12:28:03.0,2005-09-09 12:28:03.0,113.0,,113.0,0,2,0,1,"[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]",1~~1
19019,6W08a98ZQV,"Unit ES_02, Section ES_02-1",EG2-FIXED,1,2y/2 = 8/2,2005-09-09 12:28:03.0,2005-09-09 12:28:12.0,2005-09-09 12:28:43.0,2005-09-09 12:28:43.0,40.0,,40.0,0,2,0,1,,
19020,6W08a98ZQV,"Unit ES_02, Section ES_02-1",EG30,1,(-6+6)*-10,2005-09-09 12:28:51.0,2005-09-09 12:29:05.0,2005-09-09 12:29:05.0,2005-09-09 12:29:05.0,14.0,14.0,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]",1~~1
19021,6W08a98ZQV,"Unit ES_02, Section ES_02-1",EG30,1,0*-10,2005-09-09 12:29:05.0,2005-09-09 12:29:13.0,2005-09-09 12:29:13.0,2005-09-09 12:29:13.0,8.0,8.0,,1,0,0,1,,
19022,6W08a98ZQV,"Unit ES_02, Section ES_02-1",EG31,1,-10(-6-2),2005-09-09 12:29:23.0,2005-09-09 12:29:38.0,2005-09-09 12:29:38.0,2005-09-09 12:29:38.0,15.0,15.0,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]",2~~2
19023,6W08a98ZQV,"Unit ES_02, Section ES_02-1",EG31,1,-10*-8,2005-09-09 12:29:38.0,2005-09-09 12:29:41.0,2005-09-09 12:29:41.0,2005-09-09 12:29:41.0,3.0,3.0,,1,0,0,1,,
19024,6W08a98ZQV,"Unit ES_02, Section ES_02-1",EG29,1,-10*-3-5,2005-09-09 12:29:44.0,2005-09-09 12:29:57.0,2005-09-09 12:29:57.0,2005-09-09 12:29:57.0,13.0,13.0,,1,0,0,1,"[SkillRule: Select Multiply/Divide, nested; {MT; MT no fraction coeff}]",1
19025,6W08a98ZQV,"Unit ES_02, Section ES_02-1",EG29,1,30-5,2005-09-09 12:29:57.0,2005-09-09 12:30:00.0,2005-09-09 12:30:00.0,2005-09-09 12:30:00.0,3.0,3.0,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],3
19026,6W08a98ZQV,"Unit ES_02, Section ES_02-1",EG28,1,-1-5*-4,2005-09-09 12:30:03.0,2005-09-09 12:30:08.0,2005-09-09 12:30:08.0,2005-09-09 12:30:08.0,5.0,5.0,,1,0,0,1,"[SkillRule: Select Multiply/Divide, nested; {MT; MT no fraction coeff}]",2
20474,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-2",REAL30,1,R1C2,2006-02-24 12:11:53.0,2006-02-24 12:12:16.0,2006-02-24 12:12:16.0,2006-02-24 12:12:16.0,23.0,23.0,,1,0,0,1,,
20475,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-2",REAL30,1,R2C2,2006-02-24 12:12:16.0,2006-02-24 12:12:19.0,2006-02-24 12:12:19.0,2006-02-24 12:12:19.0,3.0,3.0,,1,0,0,1,Identifying units,57
20476,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-2",REAL30,1,R3C2,2006-02-24 12:12:19.0,2006-02-24 12:13:12.0,2006-02-24 12:13:12.0,2006-02-24 12:13:12.0,53.0,53.0,,1,0,0,1,"Using large numbers~~Write expression, negative slope~~Using difficult numbers",27~~8~~76
20477,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-2",REAL30,1,YLabel,2006-02-24 12:13:12.0,2006-02-24 12:13:30.0,2006-02-24 12:13:30.0,2006-02-24 12:13:30.0,18.0,18.0,,1,0,0,1,Labelling the axes,63
20478,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-2",REAL30,1,YUnit,2006-02-24 12:13:30.0,2006-02-24 12:13:34.0,2006-02-24 12:13:34.0,2006-02-24 12:13:34.0,4.0,4.0,,1,0,0,1,,
20479,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-2",REAL30,1,XLabel,2006-02-24 12:13:34.0,2006-02-24 12:13:43.0,2006-02-24 12:13:43.0,2006-02-24 12:13:43.0,9.0,9.0,,1,0,0,1,Labelling the axes,64
20480,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-2",REAL30,1,Intercept Field 1,2006-02-24 12:13:43.0,2006-02-24 12:13:49.0,2006-02-24 12:13:56.0,2006-02-24 12:13:56.0,10.0,,10.0,0,1,0,1,Entering the y-intercept,4
20481,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-2",REAL30,1,Slope Field 1,2006-02-24 12:13:49.0,2006-02-24 12:13:52.0,2006-02-24 12:14:02.0,2006-02-24 12:14:02.0,9.0,,9.0,0,1,0,1,Entering the slope,4
20482,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-2",REAL30,1,yMin,2006-02-24 12:14:02.0,2006-02-24 12:14:21.0,2006-02-24 12:14:21.0,2006-02-24 12:15:01.0,29.0,29.0,,1,1,0,2,Changing axis bounds,119
20483,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-2",REAL30,1,yScale,2006-02-24 12:14:21.0,2006-02-24 12:14:25.0,2006-02-24 12:14:25.0,2006-02-24 12:14:41.0,14.0,14.0,,1,0,0,3,Changing axis intervals,55
21928,8o0mJnIpFH,"Unit ES_03, Section ES_03-1",EG47A,1,-20+48 = -15y-48+48,2005-10-14 12:43:26.0,2005-10-14 12:43:31.0,2005-10-14 12:43:31.0,2005-10-14 12:43:31.0,5.0,5.0,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],8
21929,8o0mJnIpFH,"Unit ES_03, Section ES_03-1",EG47A,1,-20+48 = -15y,2005-10-14 12:43:31.0,2005-10-14 12:43:34.0,2005-10-14 12:43:38.0,2005-10-14 12:43:38.0,7.0,,7.0,0,1,0,1,[SkillRule: Consolidate vars with coeff; CLT],9
21930,8o0mJnIpFH,"Unit ES_03, Section ES_03-1",EG47A,1,28 = -15y,2005-10-14 12:43:38.0,2005-10-14 12:43:47.0,2005-10-14 12:43:47.0,2005-10-14 12:43:47.0,9.0,9.0,,1,0,0,1,"[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}]",48~~13
21931,8o0mJnIpFH,"Unit ES_03, Section ES_03-1",EG47A,1,28/-15 = -15y/-15,2005-10-14 12:43:47.0,2005-10-14 12:43:53.0,2005-10-14 12:43:53.0,2005-10-14 12:43:53.0,6.0,6.0,,1,0,0,1,,
21932,8o0mJnIpFH,"Unit ES_03, Section ES_03-1",EG47,1,3y-y-9 = -4,2005-10-14 12:44:06.0,2005-10-14 12:44:31.0,2005-10-14 12:44:31.0,2005-10-14 12:44:31.0,25.0,25.0,,1,0,0,1,"[SkillRule: Consolidate vars, no coeff; CLT]",3
21933,8o0mJnIpFH,"Unit ES_03, Section ES_03-1",EG47,1,2y-9 = -4,2005-10-14 12:44:31.0,2005-10-14 12:44:39.0,2005-10-14 12:44:39.0,2005-10-14 12:44:39.0,8.0,8.0,,1,0,0,1,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative]",43~~15
21934,8o0mJnIpFH,"Unit ES_03, Section ES_03-1",EG47,1,2y-9+9 = -4+9,2005-10-14 12:44:39.0,2005-10-14 12:44:45.0,2005-10-14 12:44:45.0,2005-10-14 12:44:45.0,6.0,6.0,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],10
21935,8o0mJnIpFH,"Unit ES_03, Section ES_03-1",EG47,1,2y = -4+9,2005-10-14 12:44:45.0,2005-10-14 12:44:55.0,2005-10-14 12:45:21.0,2005-10-14 12:45:21.0,36.0,,36.0,0,2,0,1,[SkillRule: Consolidate vars with coeff; CLT],11
21936,8o0mJnIpFH,"Unit ES_03, Section ES_03-1",EG47,1,2y = 5,2005-10-14 12:45:21.0,2005-10-14 12:45:32.0,2005-10-14 12:45:32.0,2005-10-14 12:45:32.0,11.0,11.0,,1,0,0,1,"[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]",35~~49
21937,8o0mJnIpFH,"Unit ES_03, Section ES_03-1",EG47,1,2y/2 = 5/2,2005-10-14 12:45:32.0,2005-10-14 12:45:36.0,2005-10-14 12:45:36.0,2005-10-14 12:45:36.0,4.0,4.0,,1,0,0,1,,
23171,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-3",DISTFB06_SP,1,R1C1,2006-03-08 12:36:06.0,2006-03-08 12:38:31.0,2006-03-08 12:38:39.0,2006-03-08 12:38:39.0,153.0,,153.0,0,1,0,1,,
23172,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-3",DISTFB06_SP,1,R2C1,2006-03-08 12:38:39.0,2006-03-08 12:38:44.0,2006-03-08 12:38:44.0,2006-03-08 12:38:44.0,5.0,5.0,,1,0,0,1,Identifying units,59
23173,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-3",DISTFB06_SP,1,R3C1,2006-03-08 12:38:44.0,2006-03-08 12:38:45.0,2006-03-08 12:38:45.0,2006-03-08 12:38:45.0,1.0,1.0,,1,0,0,1,Define Variable,47
23174,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-3",DISTFB06_SP,1,R1C2,2006-03-08 12:38:45.0,2006-03-08 12:38:58.0,2006-03-08 12:38:58.0,2006-03-08 12:38:58.0,13.0,13.0,,1,0,0,1,,
23175,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-3",DISTFB06_SP,1,R2C2,2006-03-08 12:38:58.0,2006-03-08 12:39:02.0,2006-03-08 12:39:02.0,2006-03-08 12:39:02.0,4.0,4.0,,1,0,0,1,Identifying units,60
23176,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-3",DISTFB06_SP,1,R3C2,2006-03-08 12:39:02.0,2006-03-08 12:41:59.0,2006-03-08 12:42:32.0,2006-03-08 12:42:32.0,210.0,,210.0,0,0,5,1,"Using small numbers~~Write expression, positive slope~~Using difficult numbers",81~~37~~59
23177,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-3",DISTFB06_SP,1,R4C1,2006-03-08 12:42:32.0,2006-03-08 12:43:26.0,2006-03-08 12:43:26.0,2006-03-08 12:43:26.0,54.0,54.0,,1,0,0,1,Entering a given,141
23178,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-3",DISTFB06_SP,1,R5C1,2006-03-08 12:43:26.0,2006-03-08 12:43:34.0,2006-03-08 12:52:23.0,2006-03-08 12:52:23.0,537.0,,537.0,0,1,3,1,Entering a given,142
23179,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-3",DISTFB06_SP,2,R6C2,2006-03-10 12:21:55.0,2006-03-10 12:22:11.0,2006-03-10 12:22:11.0,2006-03-10 12:22:11.0,16.0,16.0,,1,0,0,1,Entering a given,143
23180,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-3",DISTFB06_SP,2,R7C2,2006-03-10 12:22:22.0,2006-03-10 12:22:30.0,2006-03-10 12:22:30.0,2006-03-10 12:22:30.0,8.0,8.0,,1,0,0,1,Entering a given,144
36124,g209g5Vve6,"Unit ES_04, Section ES_04-12",EG58,5,63X = 9-14,2005-09-28 12:50:48.0,2005-09-28 12:50:51.0,2005-09-28 12:50:51.0,2005-09-28 12:50:51.0,3.0,3.0,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],26
36125,g209g5Vve6,"Unit ES_04, Section ES_04-12",EG58,5,63X = -5,2005-09-28 12:50:55.0,2005-09-28 12:51:02.0,2005-09-28 12:51:15.0,2005-09-28 12:51:15.0,20.0,,20.0,0,1,0,1,"[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]",19~~49
36126,g209g5Vve6,"Unit ES_04, Section ES_04-12",EG58,5,63X/63 = -5/63,2005-09-28 12:51:15.0,2005-09-28 12:51:18.0,2005-09-28 12:51:18.0,2005-09-28 12:51:26.0,11.0,11.0,,1,1,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],22
36127,g209g5Vve6,"Unit ES_04, Section ES_04-12",EG58A,7,10 = -48(-13x+21)-44x,2005-09-28 12:51:30.0,2005-09-28 12:51:54.0,2005-09-28 12:51:54.0,2005-09-28 12:51:54.0,24.0,24.0,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]",45
36128,g209g5Vve6,"Unit ES_04, Section ES_04-12",EG58A,8,4(-25x-9)+26x = -19,2005-09-29 12:45:12.0,2005-09-29 12:45:17.0,2005-09-29 12:45:17.0,2005-09-29 12:45:17.0,5.0,5.0,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]",46
36129,g209g5Vve6,"Unit ES_04, Section ES_04-12",EG58A,8,FinalAnswer,2005-09-29 12:45:17.0,2005-09-29 12:45:26.0,2005-09-29 12:46:27.0,2005-09-29 12:47:14.0,88.0,,88.0,0,5,1,4,distribute-sp~~combine-like-terms-sp~~perform-mult-sp,12~~30~~18
36130,g209g5Vve6,"Unit ES_04, Section ES_04-12",EG58A,8,4*-25X+4*-9+26x = -19,2005-09-29 12:46:27.0,2005-09-29 12:46:34.0,2005-09-29 12:46:34.0,2005-09-29 12:46:34.0,7.0,7.0,,1,0,0,1,,
36131,g209g5Vve6,"Unit ES_04, Section ES_04-12",EG58A,8,4*-25X+(-36)+26x = -19,2005-09-29 12:46:37.0,2005-09-29 12:46:41.0,2005-09-29 12:46:41.0,2005-09-29 12:46:41.0,4.0,4.0,,1,0,0,1,,
36132,g209g5Vve6,"Unit ES_04, Section ES_04-12",EG58A,8,-100X+(-36)+26x = -19,2005-09-29 12:46:46.0,2005-09-29 12:46:50.0,2005-09-29 12:46:50.0,2005-09-29 12:46:50.0,4.0,4.0,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],27
36133,g209g5Vve6,"Unit ES_04, Section ES_04-12",EG58A,8,x1R1,2005-09-29 12:46:50.0,2005-09-29 12:46:54.0,2005-09-29 12:46:54.0,2005-09-29 12:46:54.0,4.0,4.0,,1,0,0,1,,
37973,g209g5Vve6,"Unit ES_05, Section ES_05-4",EG59A,2,row1-D-constant factors,2006-01-13 12:38:39.0,2006-01-13 12:38:52.0,,2006-01-13 12:38:52.0,13.0,,13.0,0,1,0,0,,
37974,g209g5Vve6,"Unit ES_05, Section ES_05-4",EG59A,2,row1-N-constant factors,2006-01-13 12:38:52.0,2006-01-13 12:39:00.0,2006-01-13 12:39:00.0,2006-01-13 12:39:00.0,8.0,8.0,,1,0,0,1,,
37975,g209g5Vve6,"Unit ES_05, Section ES_05-4",EG59A,2,row3-N-constant factors,2006-01-13 12:38:27.0,2006-01-13 12:38:29.0,2006-01-13 12:39:04.0,2006-01-13 12:39:04.0,16.0,,16.0,0,3,0,1,,
37976,g209g5Vve6,"Unit ES_05, Section ES_05-4",EG59A,2,row3-N-X,2006-01-13 12:39:04.0,2006-01-13 12:39:06.0,2006-01-13 12:39:08.0,2006-01-13 12:39:08.0,4.0,,4.0,0,1,0,1,,
37977,g209g5Vve6,"Unit ES_05, Section ES_05-4",EG59A,2,row3-D-constant factors,2006-01-13 12:39:08.0,2006-01-13 12:39:12.0,2006-01-13 12:39:14.0,2006-01-13 12:39:14.0,6.0,,6.0,0,1,0,1,,
37978,g209g5Vve6,"Unit ES_05, Section ES_05-4",EG59A,2,row3-D-X,2006-01-13 12:39:14.0,2006-01-13 12:39:17.0,2006-01-13 12:39:20.0,2006-01-13 12:39:20.0,6.0,,6.0,0,1,0,1,,
37979,g209g5Vve6,"Unit ES_05, Section ES_05-4",EG59A,2,921x = -785+X*-742,2006-01-13 12:39:23.0,2006-01-13 12:39:29.0,2006-01-13 12:39:51.0,2006-01-13 12:39:51.0,28.0,,28.0,0,1,3,1,"[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}]",64
