Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default),Problem Unit,Problem Section
23522,8o0mJnIpFH,"Unit ES_07, Section ES_07-4",LIT63A,1,n*t-h*r = c*j+z*n,,,,,,,,0.0,,,,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]",228,ES_07,ES_07-4
23621,8o0mJnIpFH,"Unit CTA1_12, Section CTA1_12-2",SYS03,1,R3C3,,,,,,,,0.0,,,,"Using simple numbers~~Using small numbers~~Write expression, positive slope",94~~104~~55,CTA1_12,CTA1_12-2
35682,g209g5Vve6,"Unit CTA1_08, Section CTA1_08-3",REAL37,1,Slope Field 1,,,,,,,,1.0,,,,Entering the slope,20,CTA1_08,CTA1_08-3
36252,g209g5Vve6,"Unit ES_04, Section ES_04-14",LIT23A,1,(n*j+56)/n = r/n,,,,,,,,0.0,,,,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],28,ES_04,ES_04-14
36745,g209g5Vve6,"Unit CTA1_10, Section CTA1_10-4",DIST02_SP,1,ValidEquations,,,,,,,,1.0,,,,,,CTA1_10,CTA1_10-4
37170,g209g5Vve6,"Unit ES_07, Section ES_07-4",LIT65A,2,(h*q-n*t)/(s+m) = k*(s+m)/(s+m),,,,,,,,1.0,,,,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],61,ES_07,ES_07-4
37642,g209g5Vve6,"Unit CTA1_12, Section CTA1_12-4",SYSFB22,1,R1C1,,,,,,,,1.0,,,,,,CTA1_12,CTA1_12-4
38196,g209g5Vve6,"Unit ES_05, Section ES_05-11",LIT87,1,12y = 1-a*x,,,,,,,,0.0,,,,"[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]",279,ES_05,ES_05-11
38553,g209g5Vve6,"Unit CTA1_14, Section CTA1_14-4",2PTFB16,3,R5C1,,,,,,,,1.0,,,,Entering a given,205,CTA1_14,CTA1_14-4
38923,g209g5Vve6,"Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2",YGT-4X-10,1,GraphChoice1,,,,,,,,1.0,,,,,,LINEAR-INEQUALITY-GRAPHING,LINEAR-INEQUALITY-GRAPHING-2
39308,g209g5Vve6,"Unit CTA1_15, Section CTA1_15-3",SYSFB06,1,ValidEquations,,,,,,,,1.0,,,,,,CTA1_15,CTA1_15-3
39522,g209g5Vve6,"Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1",NEWSQUARE2TRE,1,R4C2,,,,,,,,0.0,,,,"Using simple numbers~~Using small numbers~~Find Y, positive slope~~Entering a computed linear value",254~~204~~24~~45,QUAD-ADD-AREA-ALG1,QUAD-ADD-AREA-ALG1-1
39718,g209g5Vve6,"Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-1",EG-FACTOR02,1,FQCheckButton,,,,,,,,1.0,,,,,,QUADRATICS-FACTORING_ES,QUADRATICS-FACTORING_ES-1
40101,g209g5Vve6,"Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1",EG-S-FACTOR06,1,num2-factor-node,,,,,,,,1.0,,,,qft-num2-sp,17,QUADRATICS-SOLVING_ES,QUADRATICS-SOLVING_ES-1
40437,g209g5Vve6,"Unit QUAD-VERTICAL-MOTION, Section QUAD-VERTICAL-MOTION-1",NEWQUAD5TRE,1,R7C1,,,,,,,,0.0,,,,Entering a computed linear value,80,QUAD-VERTICAL-MOTION,QUAD-VERTICAL-MOTION-1
43944,l8kuAhlIWI,"Unit ES_02, Section ES_02-10",EG44,3,-2 = -10/x,,,,,,,,1.0,,,,"[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}]",10,ES_02,ES_02-10
44047,l8kuAhlIWI,"Unit CTA1_13, Section CTA1_13-1",PROP02,2,R7C1,,,,,,,,1.0,,,,Entering a given,31,CTA1_13,CTA1_13-1
44877,l8kuAhlIWI,"Unit CTA1_06, Section CTA1_06-5",FBSMR2,3,xMin,,,,,,,,1.0,,,,Changing axis bounds,119,CTA1_06,CTA1_06-5
45036,l8kuAhlIWI,"Unit ES_03, Section ES_03-4",EG48A,3,-6 = 45y,,,,,,,,1.0,,,,"[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]",69~~121,ES_03,ES_03-4
45142,QER9PsCgBT,"Unit CTA1_01, Section CTA1_01-2",BH1T24A,1,R4C1,,,,,,,,1.0,,,,"Entering a given~~Convert unit, standard",9~~1,CTA1_01,CTA1_01-2
45312,QER9PsCgBT,"Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2",YLE-3X-13,1,xMin,,,,,,,,1.0,,,,,,LINEAR-INEQUALITY-GRAPHING,LINEAR-INEQUALITY-GRAPHING-2
45635,QER9PsCgBT,"Unit CTA1_15, Section CTA1_15-3",SYS07,1,R1C2,,,,,,,,1.0,,,,,,CTA1_15,CTA1_15-3
45762,QER9PsCgBT,"Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1",NEWSQUARE8TRE,1,yMax,,,,,,,,1.0,,,,Changing axis bounds,48,QUAD-ADD-AREA-ALG1,QUAD-ADD-AREA-ALG1-1
45875,QER9PsCgBT,"Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-1",EG-FACTOR09,1,a-factor-1,,,,,,,,1.0,,,,,,QUADRATICS-FACTORING_ES,QUADRATICS-FACTORING_ES-1
46084,QER9PsCgBT,"Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1",EG-S-FACTOR04,2,den1-factor-node,,,,,,,,1.0,,,,qft-den-sp,8,QUADRATICS-SOLVING_ES,QUADRATICS-SOLVING_ES-1
46320,QER9PsCgBT,"Unit QUAD-VERTICAL-MOTION, Section QUAD-VERTICAL-MOTION-1",NEWQUAD4TRE,2,R10C1,,,,,,,,1.0,,,,Entering a computed linear value,48,QUAD-VERTICAL-MOTION,QUAD-VERTICAL-MOTION-1
46520,QER9PsCgBT,"Unit EXPT-PRODUCT-SIMP-A_ES, Section EXPT-PRODUCT-SIMPLIFYING-A_ES-3",EG-EPS03,1,x1R1,,,,,,,,1.0,,,,,,EXPT-PRODUCT-SIMP-A_ES,EXPT-PRODUCT-SIMPLIFYING-A_ES-3
46740,QER9PsCgBT,"Unit EXPT-QUOTIENT-SIMP-A_ES, Section EXPT-QUOTIENT-SIMPLIFYING-A_ES-2",EG-EQS07,4,(4y^3)/y^3,,,,,,,,1.0,,,,,,EXPT-QUOTIENT-SIMP-A_ES,EXPT-QUOTIENT-SIMPLIFYING-A_ES-2
46975,QER9PsCgBT,"Unit CTA1_20, Section CTA1_20-2",1PTFB10,1,R2C1,,,,,,,,1.0,,,,Identifying units,65,CTA1_20,CTA1_20-2
47189,QER9PsCgBT,"Unit CTA1_21, Section CTA1_21-3",DEC06,1,R1C1,,,,,,,,1.0,,,,,,CTA1_21,CTA1_21-3
47421,QER9PsCgBT,"Unit CTA1_22, Section CTA1_22-1",SYS19,1,Intersection 1 X,,,,,,,,1.0,,,,Labelling point of intersection,25,CTA1_22,CTA1_22-1
47450,QER9PsCgBT,"Unit ES_06, Section ES_06-1",EG63,2,68.5025 = -547.9152+222.8554x,,,,,,,,1.0,,,,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative]",65~~16,ES_06,ES_06-1
47540,QER9PsCgBT,"Unit CTA1_24, Section CTA1_24-1",REAL06,1,R7C1,,,,,,,,1.0,,,,"Using small numbers~~Find X, Simple~~Using difficult numbers",134~~10~~77,CTA1_24,CTA1_24-1
47732,QER9PsCgBT,"Unit CTA1_25, Section CTA1_25-1",DEC07,1,R3C2,,,,,,,,1.0,,,,"Using small numbers~~Write expression, positive slope~~Using difficult numbers",163~~50~~98,CTA1_25,CTA1_25-1
47867,QER9PsCgBT,"Unit CTA1_26, Section CTA1_26-1",BH1T06,1,yMax,,,,,,,,1.0,,,,Changing axis bounds,158,CTA1_26,CTA1_26-1
47984,QER9PsCgBT,"Unit CTA1_27, Section CTA1_27-1",PROP14,1,R3C1,,,,,,,,1.0,,,,Define Variable,84,CTA1_27,CTA1_27-1
48754,QER9PsCgBT,"Unit QuadLinearFuncTrans, Section QLFuncTrans9",TRANSFORMN002,1,ParentCurveChoice,,,,,,,,1.0,,,,Identify Parent Curve,74,QuadLinearFuncTrans,QLFuncTrans9
63023,yDO9pl8GC0,"Unit ES_03, Section ES_03-6",EG52,2,-4.4 = -0.7Y+Y,,,,,,,,1.0,,,,"[SkillRule: Consolidate vars, no coeff; CLT]",22,ES_03,ES_03-6
63375,yDO9pl8GC0,"Unit CTA1_08, Section CTA1_08-3",L5FB02,1,Formula 1 Coeff 0,,,,,,,,1.0,,,,Setting the y-intercept,17,CTA1_08,CTA1_08-3
63869,yDO9pl8GC0,"Unit ES_04, Section ES_04-16",LIT57A,1,jR2,,,,,,,,1.0,,,,perform-mult-row2-sp,21,ES_04,ES_04-16
64262,yDO9pl8GC0,"Unit CTA1_10, Section CTA1_10-6",DISTFB11_SP,1,1260+7X = 4300,,,,,,,,1.0,,,,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]",150,CTA1_10,CTA1_10-6
64468,yDO9pl8GC0,"Unit ES_07, Section ES_07-4",LIT65A,1,di-expr,,,,,,,,1.0,,,,,,ES_07,ES_07-4
64777,yDO9pl8GC0,"Unit CTA1_12, Section CTA1_12-4",SYSFB04,1,R5C1,,,,,,,,1.0,,,,,,CTA1_12,CTA1_12-4
65187,yDO9pl8GC0,"Unit ES_05, Section ES_05-12",LIT38,1,y = m*x+b,,,,,,,,1.0,,,,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]",246,ES_05,ES_05-12
65648,yDO9pl8GC0,"Unit CTA1_14, Section CTA1_14-4",2PTFB13,1,m = -5*-15,,,,,,,,1.0,,,,,,CTA1_14,CTA1_14-4
65891,yDO9pl8GC0,"Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2",P-2X-2YGE9,1,-2y = 9,,,,,,,,1.0,,,,"[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}]",347~~89,LINEAR-INEQUALITY-GRAPHING,LINEAR-INEQUALITY-GRAPHING-2
66196,yDO9pl8GC0,"Unit CTA1_15, Section CTA1_15-3",SYSFB10,1,R2C2,,,,,,,,1.0,,,,Identifying units,144,CTA1_15,CTA1_15-3
66384,yDO9pl8GC0,"Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1",NEWSQUARE4TRE,2,R3C3,,,,,,,,0.0,,,,"Using simple numbers~~Using small numbers~~Write expression, quadratic",191~~155~~2,QUAD-ADD-AREA-ALG1,QUAD-ADD-AREA-ALG1-1
84731,6Ax4SKe470,"Unit ES_04, Section ES_04-10",EG57A,2,-8y+35 = -48*25,,,,,,,,1.0,,,,,,ES_04,ES_04-10
85212,6Ax4SKe470,"Unit CTA1_10, Section CTA1_10-4",DISTFB07_SP,1,R3C2,,,,,,,,0.0,,,,"Using small numbers~~Write expression, positive slope~~Using difficult numbers",26~~13~~23,CTA1_10,CTA1_10-4
85767,6Ax4SKe470,"Unit ES_07, Section ES_07-5",LIT82,1,v*(k*h+h) = w*h,,,,,,,,1.0,,,,"[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]",175,ES_07,ES_07-5
86131,6Ax4SKe470,"Unit CTA1_12, Section CTA1_12-4",SYSFB23,1,256-9d = 50,,,,,,,,1.0,,,,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]",204,CTA1_12,CTA1_12-4
86603,6Ax4SKe470,"Unit ES_05, Section ES_05-10",EG62,2,-74.76y+30.01+74.76y = 77.6y+74.76y,,,,,,,,1.0,,,,"[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]",107,ES_05,ES_05-10
87002,6Ax4SKe470,"Unit CTA1_14, Section CTA1_14-4",1PTFB12,1,R4C1,,,,,,,,1.0,,,,Entering a given,194,CTA1_14,CTA1_14-4
87535,6Ax4SKe470,"Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2",2X+3YGT9,1,xMin,,,,,,,,1.0,,,,,,LINEAR-INEQUALITY-GRAPHING,LINEAR-INEQUALITY-GRAPHING-2
87735,6Ax4SKe470,"Unit CTA1_15, Section CTA1_15-3",SYSFB10,1,R5C3,,,,,,,,1.0,,,,Entering a given,253,CTA1_15,CTA1_15-3
88089,6Ax4SKe470,"Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1",NEWSQUARE5TRE,2,R8C2,,,,,,,,1.0,,,,Entering a computed linear value,51,QUAD-ADD-AREA-ALG1,QUAD-ADD-AREA-ALG1-1
88254,6Ax4SKe470,"Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-2",EG-FACTOR43,1,FinalAnswer,,,,,,,,1.0,,,,factor-quadratic-sp,10,QUADRATICS-FACTORING_ES,QUADRATICS-FACTORING_ES-2
88632,6Ax4SKe470,"Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1",EG-S-FACTOR03,1,(13+sqrt(169-168))/2 = x,,,,,,,,1.0,,,,"[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]",57,QUADRATICS-SOLVING_ES,QUADRATICS-SOLVING_ES-1
89207,6Ax4SKe470,"Unit QUAD-VERTICAL-MOTION, Section QUAD-VERTICAL-MOTION-1",NEWQUAD8TRE,1,b-factor-node,,,,,,,,1.0,,,,,,QUAD-VERTICAL-MOTION,QUAD-VERTICAL-MOTION-1
89305,6Ax4SKe470,"Unit EXPT-PRODUCT-SIMP-A_ES, Section EXPT-PRODUCT-SIMPLIFYING-A_ES-2",EG-EPS09,1,constant factorsR2,,,,,,,,1.0,,,,perform-mult-row2-sp,6,EXPT-PRODUCT-SIMP-A_ES,EXPT-PRODUCT-SIMPLIFYING-A_ES-2
89726,6Ax4SKe470,"Unit EXPT-QUOTIENT-SIMP-A_ES, Section EXPT-QUOTIENT-SIMPLIFYING-A_ES-3",EG-EQS03,3,(2(x^3)(y^5))/((x^5)(y^5)),,,,,,,,1.0,,,,,,EXPT-QUOTIENT-SIMP-A_ES,EXPT-QUOTIENT-SIMPLIFYING-A_ES-3
90089,6Ax4SKe470,"Unit CTA1_20, Section CTA1_20-2",1PTB06,1,R2C2,,,,,,,,1.0,,,,Identifying units,220,CTA1_20,CTA1_20-2
90259,6Ax4SKe470,"Unit CTA1_21, Section CTA1_21-3",FEB07,1,R1C1,,,,,,,,1.0,,,,,,CTA1_21,CTA1_21-3
90424,6Ax4SKe470,"Unit CTA1_22, Section CTA1_22-1",SYSFB08,1,ValidEquations,,,,,,,,1.0,,,,,,CTA1_22,CTA1_22-1
90604,6Ax4SKe470,"Unit ES_06, Section ES_06-1",EG63A,4,611.57(y-326.08)-353.52 = -216.58-831.78y*(-762/(-74y)+868.93),,,,,,,,1.0,,,,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]",123,ES_06,ES_06-1
90728,6Ax4SKe470,"Unit CTA1_24, Section CTA1_24-1",L5FB05,1,68+24C = 2924,,,,,,,,1.0,,,,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]",395,CTA1_24,CTA1_24-1
91018,6Ax4SKe470,"Unit CTA1_25, Section CTA1_25-1",FEB06,1,R5C1,,,,,,,,1.0,,,,Entering a given,572,CTA1_25,CTA1_25-1
95515,7oiAa7MlW2,"Unit CTA1_10, Section CTA1_10-6",DISTFB11_SP,1,R1C2,,,,,,,,1.0,,,,,,CTA1_10,CTA1_10-6
95711,7oiAa7MlW2,"Unit ES_07, Section ES_07-6",LIT82A,1,(w*m*j+w*j)/j*j = x*j,,,,,,,,1.0,,,,[SkillRule: Calculate Eliminate Parens; [Typein Skill: Eliminate Parens]],2,ES_07,ES_07-6
96059,7oiAa7MlW2,"Unit CTA1_12, Section CTA1_12-5",SYSFB25,2,Intersection 1 X,,,,,,,,1.0,,,,Labelling point of intersection,21,CTA1_12,CTA1_12-5
96342,7oiAa7MlW2,"Unit ES_05, Section ES_05-12",LIT87,1,12Y = 1-a*x,,,,,,,,1.0,,,,"[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]",151,ES_05,ES_05-12
96710,7oiAa7MlW2,"Unit CTA1_14, Section CTA1_14-4",TPH11,1,R3C2,,,,,,,,0.0,,,,"Using small numbers~~Using difficult numbers~~Write expression, initial and point",110~~66~~11,CTA1_14,CTA1_14-4
96999,879eYkR2Wu,"Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2",P-3X-YLT6,1,-3(0)-y = 6,,,,,,,,1.0,,,,,,LINEAR-INEQUALITY-GRAPHING,LINEAR-INEQUALITY-GRAPHING-2
97452,879eYkR2Wu,"Unit CTA1_15, Section CTA1_15-3",SYSFB06,1,ValidEquations,,,,,,,,1.0,,,,,,CTA1_15,CTA1_15-3
97629,879eYkR2Wu,"Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1",NEWSQUARE3TRE,1,R4C3,,,,,,,,1.0,,,,"Using simple numbers~~Using small numbers~~Find Y, any form~~Entering a computed quadratic value",62~~43~~9~~9,QUAD-ADD-AREA-ALG1,QUAD-ADD-AREA-ALG1-1
97736,879eYkR2Wu,"Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-2",EG-FACTOR48,1,c-factor-1,,,,,,,,1.0,,,,,,QUADRATICS-FACTORING_ES,QUADRATICS-FACTORING_ES-2
98029,879eYkR2Wu,"Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1",EG-S-FACTOR15,1,7x^2+19x-6 = 0,,,,,,,,1.0,,,,,,QUADRATICS-SOLVING_ES,QUADRATICS-SOLVING_ES-1
98618,879eYkR2Wu,"Unit QUAD-VERTICAL-MOTION, Section QUAD-VERTICAL-MOTION-1",NEWQUAD8TRE,2,b-factor-node,,,,,,,,1.0,,,,,,QUAD-VERTICAL-MOTION,QUAD-VERTICAL-MOTION-1
98791,879eYkR2Wu,"Unit EXPT-PRODUCT-SIMP-A_ES, Section EXPT-PRODUCT-SIMPLIFYING-A_ES-3",EG-EPS03,1,yR2,,,,,,,,1.0,,,,perform-mult-row2-sp,13,EXPT-PRODUCT-SIMP-A_ES,EXPT-PRODUCT-SIMPLIFYING-A_ES-3
98944,879eYkR2Wu,"Unit EXPT-QUOTIENT-SIMP-A_ES, Section EXPT-QUOTIENT-SIMPLIFYING-A_ES-3",EG-EQS01-FIXED,1,x1R1,,,,,,,,1.0,,,,,,EXPT-QUOTIENT-SIMP-A_ES,EXPT-QUOTIENT-SIMPLIFYING-A_ES-3
